Image_ID,True_Label,Fake_Votes,Real_Votes,Total_Votes,Fake_Pct,Disagreement
317,Fake,18,18,36,50.0,1.0
588,Fake,18,18,36,50.0,1.0
270,Fake,18,18,36,50.0,1.0
65,Fake,18,18,36,50.0,1.0
121,Fake,18,18,36,50.0,1.0
509,Fake,18,18,36,50.0,1.0
501,Fake,18,18,36,50.0,1.0
192,Fake,18,18,36,50.0,1.0
221,Fake,17,17,34,50.0,1.0
472,Fake,17,18,35,48.6,0.971
186,Fake,18,17,35,51.4,0.971
498,Fake,18,17,35,51.4,0.971
363,Fake,18,17,35,51.4,0.971
418,Fake,18,17,35,51.4,0.971
129,Fake,18,17,35,51.4,0.971
5,Fake,17,19,36,47.2,0.944
576,Fake,19,17,36,52.8,0.944
448,Fake,17,19,36,47.2,0.944
527,Fake,19,17,36,52.8,0.944
109,Fake,17,19,36,47.2,0.944
471,Fake,17,19,36,47.2,0.944
138,Fake,19,17,36,52.8,0.944
120,Fake,19,17,36,52.8,0.944
515,Fake,17,19,36,47.2,0.944
34,Fake,19,17,36,52.8,0.944
552,Fake,17,19,36,47.2,0.944
53,Fake,19,17,36,52.8,0.944
417,Fake,17,19,36,47.2,0.944
411,Fake,19,17,36,52.8,0.944
259,Fake,17,19,36,47.2,0.944
98,Fake,19,17,36,52.8,0.944
28,Fake,17,19,36,47.2,0.944
128,Fake,19,17,36,52.8,0.944
80,Fake,19,17,36,52.8,0.944
413,Fake,19,17,36,52.8,0.944
196,Fake,16,19,35,45.7,0.914
476,Fake,19,16,35,54.3,0.914
1167,Real,19,16,35,54.3,0.914
157,Fake,19,16,35,54.3,0.914
30,Fake,16,20,36,44.4,0.889
316,Fake,20,16,36,55.6,0.889
83,Fake,16,20,36,44.4,0.889
313,Fake,16,20,36,44.4,0.889
7,Fake,16,20,36,44.4,0.889
409,Fake,20,16,36,55.6,0.889
554,Fake,20,16,36,55.6,0.889
266,Fake,16,20,36,44.4,0.889
54,Fake,16,20,36,44.4,0.889
566,Fake,20,16,36,55.6,0.889
122,Fake,16,20,36,44.4,0.889
495,Fake,20,16,36,55.6,0.889
300,Fake,16,20,36,44.4,0.889
149,Fake,16,20,36,44.4,0.889
220,Fake,20,16,36,55.6,0.889
473,Fake,16,20,36,44.4,0.889
88,Fake,16,20,36,44.4,0.889
134,Fake,16,20,36,44.4,0.889
487,Fake,20,16,36,55.6,0.889
593,Fake,20,16,36,55.6,0.889
160,Fake,19,15,34,55.9,0.882
223,Fake,15,19,34,44.1,0.882
596,Fake,20,15,35,57.1,0.857
507,Fake,20,15,35,57.1,0.857
108,Fake,15,20,35,42.9,0.857
22,Fake,15,20,35,42.9,0.857
350,Fake,15,20,35,42.9,0.857
291,Fake,15,20,35,42.9,0.857
341,Fake,20,15,35,57.1,0.857
87,Fake,15,20,35,42.9,0.857
168,Fake,14,19,33,42.4,0.848
581,Fake,21,15,36,58.3,0.833
99,Fake,15,21,36,41.7,0.833
371,Fake,15,21,36,41.7,0.833
281,Fake,21,15,36,58.3,0.833
1097,Real,15,21,36,41.7,0.833
492,Fake,21,15,36,58.3,0.833
369,Fake,21,15,36,58.3,0.833
100,Fake,21,15,36,58.3,0.833
422,Fake,15,21,36,41.7,0.833
398,Fake,15,21,36,41.7,0.833
562,Fake,15,21,36,41.7,0.833
478,Fake,15,21,36,41.7,0.833
123,Fake,21,15,36,58.3,0.833
480,Fake,21,15,36,58.3,0.833
461,Fake,14,20,34,41.2,0.824
177,Fake,14,20,34,41.2,0.824
11,Fake,13,19,32,40.6,0.812
70,Fake,15,22,37,40.5,0.811
305,Fake,21,14,35,60.0,0.8
31,Fake,21,14,35,60.0,0.8
301,Fake,14,21,35,40.0,0.8
491,Fake,14,21,35,40.0,0.8
489,Fake,21,14,35,60.0,0.8
52,Fake,14,21,35,40.0,0.8
240,Fake,14,21,35,40.0,0.8
233,Fake,14,21,35,40.0,0.8
261,Fake,21,14,35,60.0,0.8
219,Fake,20,13,33,60.6,0.788
269,Fake,22,14,36,61.1,0.778
400,Fake,14,22,36,38.9,0.778
560,Fake,22,14,36,61.1,0.778
238,Fake,22,14,36,61.1,0.778
465,Fake,14,22,36,38.9,0.778
96,Fake,14,22,36,38.9,0.778
548,Fake,22,14,36,61.1,0.778
522,Fake,14,22,36,38.9,0.778
528,Fake,14,22,36,38.9,0.778
481,Fake,22,14,36,61.1,0.778
167,Fake,14,22,36,38.9,0.778
536,Fake,22,14,36,61.1,0.778
139,Fake,14,22,36,38.9,0.778
512,Fake,22,14,36,61.1,0.778
591,Fake,14,22,36,38.9,0.778
214,Fake,12,19,31,38.7,0.774
161,Fake,22,13,35,62.9,0.743
20,Fake,13,22,35,37.1,0.743
156,Fake,22,13,35,62.9,0.743
155,Fake,13,22,35,37.1,0.743
90,Fake,22,13,35,62.9,0.743
583,Fake,13,22,35,37.1,0.743
332,Fake,22,13,35,62.9,0.743
549,Fake,22,13,35,62.9,0.743
496,Fake,13,22,35,37.1,0.743
15,Fake,13,23,36,36.1,0.722
532,Fake,13,23,36,36.1,0.722
232,Fake,13,23,36,36.1,0.722
68,Fake,13,23,36,36.1,0.722
304,Fake,13,23,36,36.1,0.722
43,Fake,23,13,36,63.9,0.722
565,Fake,13,23,36,36.1,0.722
556,Fake,13,23,36,36.1,0.722
392,Fake,23,13,36,63.9,0.722
85,Fake,23,13,36,63.9,0.722
126,Fake,23,13,36,63.9,0.722
589,Fake,23,13,36,63.9,0.722
595,Fake,23,13,36,63.9,0.722
12,Fake,23,13,36,63.9,0.722
169,Fake,12,22,34,35.3,0.706
377,Fake,12,22,34,35.3,0.706
333,Fake,22,12,34,64.7,0.706
1175,Real,12,22,34,35.3,0.706
594,Fake,23,12,35,65.7,0.686
45,Fake,23,12,35,65.7,0.686
255,Fake,12,23,35,34.3,0.686
59,Fake,12,23,35,34.3,0.686
32,Fake,12,23,35,34.3,0.686
234,Fake,23,12,35,65.7,0.686
97,Fake,23,12,35,65.7,0.686
175,Fake,12,23,35,34.3,0.686
572,Fake,12,23,35,34.3,0.686
171,Fake,12,23,35,34.3,0.686
95,Fake,12,24,36,33.3,0.667
538,Fake,12,24,36,33.3,0.667
456,Fake,12,24,36,33.3,0.667
217,Fake,24,12,36,66.7,0.667
92,Fake,11,22,33,33.3,0.667
484,Fake,24,12,36,66.7,0.667
181,Fake,12,24,36,33.3,0.667
